date,index_code,index_name,close,pe_ttm,pe_static,pb,dividend_yield,bond_yield
2020-06-17,000015,上证红利,2412.5300,6.5000,6.3100,0.7400,7.9687,2.8802
2020-06-18,000015,上证红利,2428.0500,6.4900,6.3000,0.7400,7.9687,2.8527
2020-06-19,000015,上证红利,2419.5200,6.5000,6.3100,0.7400,7.9569,2.8752
2020-06-22,000015,上证红利,2405.7400,6.4800,6.2900,0.7400,7.9923,2.9153
2020-06-23,000015,上证红利,2393.7600,6.4500,6.2600,0.7400,8.0161,2.9127
2020-06-24,000015,上证红利,2392.8900,6.5000,6.3100,0.7500,7.9569,2.8614
2020-06-29,000015,上证红利,2378.8300,6.4900,6.3000,0.7400,7.9687,2.8504
2020-06-30,000015,上证红利,2388.1600,6.4300,6.2400,0.7400,8.0641,2.8230
2020-07-01,000015,上证红利,2427.7000,6.5100,6.3200,0.7500,7.9452,2.8456
2020-07-02,000015,上证红利,2477.3500,6.6300,6.4300,0.7600,7.8070,2.8584
2020-07-03,000015,上证红利,2509.6300,6.7600,6.5600,0.7800,7.6735,2.8974
2020-07-06,000015,上证红利,2659.0400,7.2400,7.0300,0.8300,7.1824,2.9959
2020-07-07,000015,上证红利,2638.3500,7.1800,6.9700,0.8200,7.2501,3.0158
2020-07-08,000015,上证红利,2664.8000,7.1600,6.9500,0.8200,7.2697,3.0632
2020-07-09,000015,上证红利,2689.4900,7.1000,6.9000,0.8200,7.3191,3.0809
2020-07-10,000015,上证红利,2605.0000,6.7900,6.5900,0.7900,7.6085,3.0305
2020-07-13,000015,上证红利,2667.5600,6.8100,6.6200,0.7900,7.5658,3.0557
2020-07-14,000015,上证红利,2649.0800,6.7400,6.5400,0.7800,7.6301,3.0057
2020-07-15,000015,上证红利,2594.8100,6.5900,6.4000,0.7700,7.7957,2.9559
2020-07-16,000015,上证红利,2520.1600,6.5100,6.3200,0.7600,7.9218,2.9459
2020-07-17,000015,上证红利,2514.6500,6.5000,6.3100,0.7600,7.9335,2.9507
2020-07-20,000015,上证红利,2616.2200,6.6500,6.4500,0.7800,7.7508,2.9311
2020-07-21,000015,上证红利,2605.3900,6.6000,6.4100,0.7700,7.7957,2.9011
2020-07-22,000015,上证红利,2606.3800,6.5900,6.4000,0.7700,7.8070,2.8861
2020-07-23,000015,上证红利,2571.4300,6.5200,6.3300,0.7700,7.8986,2.9064
2020-07-24,000015,上证红利,2488.3600,6.3900,6.2100,0.7500,8.0521,2.8612
2020-07-27,000015,上证红利,2483.8100,6.3800,6.1900,0.7500,8.0521,2.8791
2020-07-28,000015,上证红利,2502.2500,6.4000,6.2100,0.7600,8.0281,2.9214
2020-07-29,000015,上证红利,2535.3100,6.4600,6.2700,0.7600,7.9569,2.9415
2020-07-30,000015,上证红利,2531.7000,6.4100,6.2300,0.7600,8.0161,2.9364
2020-07-31,000015,上证红利,2552.7800,6.4100,6.2200,0.7600,8.0161,2.9664
2020-08-03,000015,上证红利,2609.5200,6.4500,6.2700,0.7600,7.9569,2.9466
2020-08-04,000015,上证红利,2606.3300,6.5300,6.3400,0.7700,7.8870,2.9365
2020-08-05,000015,上证红利,2594.4500,6.4700,6.2800,0.7600,7.9569,2.9592
2020-08-06,000015,上证红利,2608.2400,6.4800,6.2900,0.7700,7.9335,2.9816
2020-08-07,000015,上证红利,2600.1900,6.4400,6.2500,0.7600,7.9923,2.9918
2020-08-10,000015,上证红利,2631.3200,6.4700,6.2800,0.7600,7.9452,2.9543
